"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","919","should be hidden when there are no items that are completed","chromium","Tue Jun 10 15:03:33 EDT 2025","passed","Tue Jun 10 15:03:34 EDT 2025","Clear completed button","demo-todo-app.spec.js","",""
"","2396","should append new items to the bottom of the list","webkit","Tue Jun 10 15:05:13 EDT 2025","passed","Tue Jun 10 15:05:15 EDT 2025","New Todo","demo-todo-app.spec.js","",""
"","18751","get started link","firefox","Tue Jun 10 14:57:17 EDT 2025","passed","Tue Jun 10 14:57:35 EDT 2025","","example.spec.js","",""
"","1511","should allow me to display active items","firefox","Tue Jun 10 15:04:37 EDT 2025","passed","Tue Jun 10 15:04:39 EDT 2025","Routing","demo-todo-app.spec.js","",""
"","3899","should remove completed items when clicked","webkit","Tue Jun 10 15:05:33 EDT 2025","passed","Tue Jun 10 15:05:37 EDT 2025","Clear completed button","demo-todo-app.spec.js","",""
"","3231","should allow me to mark all items as completed","webkit","Tue Jun 10 15:05:13 EDT 2025","passed","Tue Jun 10 15:05:16 EDT 2025","Mark all as completed","demo-todo-app.spec.js","",""
"","1329","should allow me to mark all items as completed","chromium","Tue Jun 10 15:03:20 EDT 2025","passed","Tue Jun 10 15:03:21 EDT 2025","Mark all as completed","demo-todo-app.spec.js","",""
"","844","should allow me to edit an item","chromium","Tue Jun 10 15:03:29 EDT 2025","passed","Tue Jun 10 15:03:30 EDT 2025","Item","demo-todo-app.spec.js","",""
"","1561","should allow me to edit an item","firefox","Tue Jun 10 15:04:23 EDT 2025","passed","Tue Jun 10 15:04:24 EDT 2025","Item","demo-todo-app.spec.js","",""
"","3949","should allow me to clear the complete state of all items","webkit","Tue Jun 10 15:05:15 EDT 2025","passed","Tue Jun 10 15:05:19 EDT 2025","Mark all as completed","demo-todo-app.spec.js","",""
